Case 3 A12-18156-14343.jpg,Non-Viable-Tumor
Case 3 A12-19907-12559.jpg,Non-Viable-Tumor
Case 3 A10-7101-7481.jpg,Non-Viable-Tumor
Case 3 A10-10566-40206.jpg,Non-Tumor
Case 3 A10-6935-14250.jpg,Non-Tumor
Case 3 A12-3094-27426.jpg,Non-Tumor
Case 3 A13-6266-11957.jpg,Non-Tumor
Case 3 A12-14795-35402.jpg,Non-Tumor
Case 3 A10-6747-12959.jpg,Non-Tumor
Case 3 A10-14813-24100.jpg,Non-Viable-Tumor
Case 3 A12-20939-18996.jpg,Non-Viable-Tumor
Case 3 A10-16082-41283.jpg,Non-Tumor
Case 3 A10-6162-33852.jpg,Non-Tumor
Case 3 A12-12706-7126.jpg,Non-Viable-Tumor
Case 3 A14-12561-9880.jpg,Non-Viable-Tumor
Case 3 A12-24626-4413.jpg,Non-Viable-Tumor
Case 3 A14-10618-25632.jpg,Non-Tumor
Case 3 A14-18021-13552.jpg,Non-Viable-Tumor
Case 3 A10-14507-37285.jpg,Non-Tumor
Case 3 A13-5020-19174.jpg,Non-Tumor
Case 3 A12-1902-25383.jpg,Non-Tumor
Case 3 A12-8900-9585.jpg,Non-Viable-Tumor
Case 3 A13-20812-5829.jpg,Non-Viable-Tumor
Case 3 A12-24008-4724.jpg,Non-Viable-Tumor
Case 3 A13-6749-8498.jpg,Non-Tumor
Case 3 A13-14922-4693.jpg,Non-Viable-Tumor
Case 3 A13-3967-28506.jpg,Non-Tumor
Case 3 A13-8917-22529.jpg,Non-Tumor
Case 3 A13-12886-26466.jpg,Non-Viable-Tumor
Case 3 A10-3671-14840.jpg,Non-Tumor
Case 3 A13-18067-22685.jpg,Non-Tumor
Case 3 A14-16152-29957.jpg,Non-Tumor
Case 3 A13-18373-28000.jpg,Non-Tumor
zannotated,Non-Tumor
Case 3 A10-13444-20223.jpg,Non-Tumor
Case 3 A13-9953-21807.jpg,Non-Tumor
Case 3 A14-17915-18084.jpg,Non-Viable-Tumor
Case 3 A13-11064-6880.jpg,Non-Viable-Tumor
Case 3 A10-14726-26052.jpg,Non-Tumor
Case 3 A14-1106-28928.jpg,Non-Tumor
Case 3 A12-16067-9053.jpg,Non-Viable-Tumor
Case 3 A12-26266-6931.jpg,Non-Viable-Tumor
Case 3 A14-18644-6337.jpg,Non-Viable-Tumor
Case 3 A12-17700-32032.jpg,Non-Tumor
Case 3 A10-10547-25283.jpg,Non-Tumor
Case 3 A12-4590-32528.jpg,Non-Tumor
Case 3 A14-16417-3901.jpg,Non-Viable-Tumor
Case 3 A10-9695-39638.jpg,Non-Tumor
Case 3 A12-3218-15469.jpg,Non-Tumor
Case 3 A13-23909-10851.jpg,Non-Viable-Tumor
